,Case No.,Claimant(s),Respondent(s),Status,Link
577,ARB/03/4,"Industria Nacional de Alimentos, S.A. and Indalsa Perú, S.A. (formerly Empresas Lucchetti, S.A. and Lucchetti Perú, S.A.)",Republic of Peru ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/4
578,ARB/03/3,Impregilo S.p.A.,Islamic Republic of Pakistan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/3
579,ARB/03/1,Ed. Züblin AG,Kingdom of Saudi Arabia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/1
580,CONC/03/1,TG World Petroleum Limited ,Republic of Niger ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/03/1
581,ARB/02/15,"Ahmonseto, Inc. and others",Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/15
582,ARB/02/18,Tokios Tokelės,Ukraine ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/18
583,ARB/02/14,CDC Group plc ,Republic of Seychelles ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/14
584,ARB/02/13,Salini Costruttori S.p.A. and Italstrade S.p.A.,Hashemite Kingdom of Jordan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/13
585,ARB/02/12,JacobsGibb Limited,Hashemite Kingdom of Jordan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/12
586,ARB/02/11,Enrho St Limited,Republic of Kazakhstan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/11
587,ARB/02/10,IBM World Trade Corp.,Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/10
588,ARB/02/9,"Champion Trading Company and Ameritrade International, Inc. ",Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/9
589,ARB/02/7,Hussein Nuaman Soufraki ,United Arab Emirates ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/7
590,ARB/02/5,PSEG Global Inc. and Konya Ilgin Elektrik Üretim ve Ticaret Limited Sirketi,Republic of Turkey ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/5
591,ARB/02/4,Lafarge ,Republic of Cameroon ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/4
592,ARB/02/3,Aguas del Tunari S.A.,Republic of Bolivia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/3
593,ARB/02/2,Impregilo S.p.A.,Islamic Republic of Pakistan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/2
594,ARB/02/1,"LG&E Energy Corp., LG&E Capital Corp. and LG&E International Inc.",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/1
595,ARB(AF)/02/1,Fireman's Fund Insurance Company,United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/02/1
596,ARB/01/14,"F-W Oil Interests, Inc.",Republic of Trinidad & Tobago ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/14
597,ARB/01/13,SGS Société Générale de Surveillance S.A. ,Islamic Republic of Pakistan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/13
598,ARB/01/11,"Noble Ventures, Inc.",Romania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/11
599,ARB/01/10,Repsol YPF Ecuador S.A.,Empresa Estatal Petróleos del Ecuador (Petroecuador),Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/10
600,ARB/01/9,Booker plc ,Co-operative Republic of Guyana ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/9
601,ARB/01/7,MTD Equity Sdn. Bhd. and MTD Chile S.A. ,Republic of Chile ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/7
602,ARB/01/6,"AIG Capital Partners, Inc. and CJSC Tema Real Estate Company ",Republic of Kazakhstan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/6
603,ARB/01/5,Société d'Exploitation des Mines d'Or de Sadiola S.A.,Republic of Mali ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/5
604,ARB/01/4,AES Summit Generation Limited ,Republic of Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/4
605,ARB/01/1,"Impregilo, S.p.A and Rizzani De Eccher S.p.A.",United Arab Emirates ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/1
606,ARB/00/9,Generation Ukraine Inc.,Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/9
607,ARB/00/8,"Ridgepointe Overseas Developments, Ltd.",Democratic Republic of the Congo and Générale des Carrières et des Mines ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/8
608,ARB/00/7,World Duty Free Company Limited ,Republic of Kenya ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/7
609,ARB/00/6,Consortium R.F.C.C.,Kingdom of Morocco ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/6
610,ARB/00/5,"Autopista Concesionada de Venezuela, C.A.",Bolivarian Republic of Venezuela ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/5
611,ARB/00/4,Salini Costruttori S.p.A. and Italstrade S.p.A.,Kingdom of Morocco ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/4
612,ARB/00/3,"GRAD Associates, P.A.",Bolivarian Republic of Venezuela ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/3
613,ARB/00/2,Mihaly International Corporation ,Democratic Socialist Republic of Sri Lanka ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/2
614,ARB/00/1,Zhinvali Development Ltd.,Republic of Georgia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/00/1
615,ARB(AF)/00/3,"Waste Management, Inc.",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/00/3
616,ARB(AF)/00/1,ADF Group Inc.,United States of America,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/00/1
617,ARB/99/8,Astaldi S.p.A. & Columbus Latinoamericana de Construcciones S.A.,Republic of Honduras,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/8
618,ARB/99/7,Patrick Mitchell ,Democratic Republic of the Congo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/7
619,ARB/99/6,Middle East Cement Shipping and Handling Co. S.A.,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/6
620,ARB/99/5,Alimenta S.A. ,Republic of The Gambia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/5
621,ARB/99/4,Empresa Nacional de Electricidad S.A.,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/4
622,ARB/99/3,Philippe Gruslin ,Malaysia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/3
623,ARB/99/2,Alex Genin and others ,Republic of Estonia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/2
624,ARB/99/1,Mobil Argentina S.A.,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/99/1
625,ARB(AF)/99/2,Mondev International Ltd.,United States of America ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/99/2
626,ARB(AF)/99/1,Marvin Roy Feldman Karpa ,United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/99/1
627,ARB/98/8,Tanzania Electric Supply Company Limited ,Independent Power Tanzania Limited ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/8
628,ARB/98/7,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L.",Democratic Republic of the Congo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/7
629,ARB/98/6,Compagnie Minière Internationale Or S.A.,Republic of Peru ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/6
630,ARB/98/5,Eudoro A. Olguín ,Republic of Paraguay ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/5
631,ARB/98/4,Wena Hotels Limited,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/4
632,ARB/98/3,International Trust Company of Liberia,Republic of Liberia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/3
633,ARB/98/1,"Houston Industries Energy, Inc. and others",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/1
634,ARB(AF)/98/3,"The Loewen Group, Inc. and Raymond L. Loewen ",United States of America ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/98/3
635,ARB(AF)/98/2,"Waste Management, Inc.",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/98/2
636,ARB(AF)/98/1,Joseph C. Lemire ,Ukraine ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/98/1
637,ARB/97/8,Compagnie Française pour le Développement des Fibres Textiles ,Côte d'Ivoire,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/8
638,ARB/97/7,Emilio Agustín Maffezini ,Kingdom of Spain ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/7
639,ARB/97/6,"Lanco International, Inc.",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/6
640,ARB/97/5,WRB Enterprises and Grenada Private Power Limited ,Grenada,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/5
641,ARB/97/4,"Československa obchodní banka, a.s.",Slovak Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/4
642,ARB/97/3,Compañía de Aguas del Aconquija S.A. and Vivendi Universal S.A.,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/3
643,ARB/97/2,Société Kufpec (Congo) Limited ,Republic of Congo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/2
644,ARB/97/1,Société d'Investigation de Recherche et d'Exploitation Minière,Burkina Faso ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/97/1
645,ARB(AF)/97/2,Robert Azinian and others ,United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/97/2
646,ARB(AF)/97/1,Metalclad Corporation ,United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/97/1
647,ARB/96/3,Fedax N.V.,Republic of Venezuela ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/96/3
648,ARB/96/2,Misima Mines Pty. Ltd. ,Independent State of Papua New Guinea ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/96/2
649,ARB/96/1,Compañia del Desarrollo de Santa Elena S.A. ,Republic of Costa Rica ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/96/1
650,ARB/95/3,Antoine Goetz and others ,Republic of Burundi ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/95/3
651,ARB/95/2,"Cable Television of Nevis, Ltd. and Cable Television of Nevis Holdings, Ltd.",Federation of St. Kitts and Nevis ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/95/2
652,ARB/95/1,Leaf Tobacco A. Michaelides S.A. and Greek-Albanian Leaf Tobacco & Co. S.A.,Republic of Albania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/95/1
653,ARB/94/2,Tradex Hellas S.A.,Republic of Albania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/94/2
654,CONC/94/1,SEDITEX Engineering Beratungsgesellschaft für dieTextilindustrie m.b.H.,Madagascar,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/94/1
655,ARB/94/1,Philippe Gruslin ,Malaysia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/94/1
656,ARB/93/1,"American Manufacturing & Trading, Inc.",Democratic Republic of the Congo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/93/1
657,ARB/92/2,Scimitar Exploration Limited ,"Bangladesh and Bangladesh Oil, Gas and Mineral Corporation",Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/92/2
658,ARB/92/1,Vacuum Salt Products Ltd.,Republic of Ghana ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/92/1
659,ARB/89/1,Manufacturers Hanover Trust Company ,Arab Republic of Egypt and General Authority for Investment and Free Zones,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/89/1
660,ARB/87/4,"Occidental of Pakistan, Inc.",Islamic Republic of Pakistan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/87/4
661,ARB/87/3,Asian Agricultural Products Limited ,Democratic Socialist Republic of Sri Lanka ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/87/3
662,ARB/87/2,Mobil Oil Corporation and others ,New Zealand ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/87/2
663,ARB/87/1,Société d'Études de Travaux et de Gestion SETIMEG S.A.,Gabonese Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/87/1
664,ARB/86/1,Ghaith R. Pharaon ,Republic of Tunisia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/86/1
665,ARB/84/4,Maritime International Nominees Establishment ,Republic of Guinea ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/84/4
666,ARB/84/3,Southern Pacific Properties (Middle East) Limited ,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/84/3
667,ARB/84/2,Colt Industries Operating Corporation ,Republic of Korea,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/84/2
668,ARB/84/1,Atlantic Triton Company Limited ,People's Revolutionary Republic of Guinea,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/84/1
669,CONC/83/1,Tesoro Petroleum Corporation,Trinidad and Tobago ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/83/1
670,ARB/83/2,Liberian Eastern Timber Corporation ,Republic of Liberia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/83/2
671,ARB/83/1,Swiss Aluminium Limited and Icelandic Aluminium Company Limited ,Iceland ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/83/1
672,CONC/82/1,SEDITEX Engineering Beratungsgesellschaft für die Textilindustrie m.b.H.,Democratic Republic of Madagascar ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/82/1
673,ARB/82/1,Société Ouest Africaine des Bétons Industriels ,Republic of Senegal ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/82/1
674,ARB/81/2,Klöckner Industrie-Anlagen GmbH and others ,United Republic of Cameroon and Société Camerounaise des Engrais,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/81/2
675,ARB/81/1,Amco Asia Corporation and others ,Republic of Indonesia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/81/1
676,ARB/78/1,Guadalupe Gas Products Corporation,Nigeria ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/78/1
677,ARB/77/2,S.A.R.L. Benvenuti & Bonfant ,People's Republic of the Congo,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/77/2
678,ARB/77/1,AGIP S.p.A.,People's Republic of the Congo,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/77/1
679,ARB/76/1,Gabon ,Société Serete S.A.,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/76/1
680,ARB/74/4,Reynolds Jamaica Mines Limited and  Reynolds Metals Company,Jamaica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/74/4
681,ARB/74/3,Kaiser Bauxite Company ,Jamaica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/74/3
682,ARB/74/2,"Alcoa Minerals of Jamaica, Inc. ",Jamaica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/74/2
683,ARB/74/1,Adriano Gardella S.p.A. ,Côte d'Ivoire,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/74/1
684,ARB/72/1,Holiday Inns S.A. and others,Morocco,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/72/1
685,ARB/07/23,Railroad Development Corporation ,Republic of Guatemala ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/23
686,CONC/07/1,Shareholders of SESAM ,Central African Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=CONC/07/1
687,ARB/07/22,AES Summit Generation Limited and AES-Tisza Erömü Kft.,Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/22
688,ARB/07/21,Pantechniki S.A. Contractors & Engineers ,Republic of Albania ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/21
689,ARB/07/20,Saba Fakes ,Republic of Turkey ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/20
690,ARB/07/19,Electrabel S.A. ,Hungary ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/19
691,ARB/07/18,Shell Nigeria Ultra Deep Limited ,Federal Republic of Nigeria ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/18
692,ARB/07/17,Impregilo S.p.A. ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/17
693,ARB/07/16,Alpha Projektholding GmbH ,Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/16
694,ARB/07/15,Ron Fuchs ,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/15
695,ARB/07/14,Liman Caspian Oil BV and NCL Dutch Investment BV ,Republic of Kazakhstan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/14
696,ARB/07/13,S&T Oil Equipment & Machinery Ltd. ,Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/13
697,ARB/07/12,Toto Costruzioni Generali S.p.A. ,Lebanese Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/12
698,ARB/07/11,ALAS International Baustoffproduktions AG,Bosnia and Herzegovina ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/11
699,ARB/07/10,M. Meerapfel Söhne AG,Central African Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/10
700,ARB/07/9,"Bureau Veritas, Inspection, Valuation, Assessment and Control, BIVAC B.V.",Republic of Paraguay ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/9
701,ARB/07/8,Giovanni Alemanni and others,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/8
702,ARB(AF)/07/3,Alasdair Ross Anderson and others ,Republic of Costa Rica ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/07/3
703,ARB(AF)/07/2,Europe Cement Investment and Trade S.A.,Republic of Turkey ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/07/2
704,ARB/07/7,Global Gold Mining LLC ,Republic of Armenia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/7
705,ARB/07/6,Tza Yap Shum ,Republic of Peru ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/6
706,ARB/07/5,Abaclat and others ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/5
707,ARB/07/4,Eni Dación B.V. ,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/4
708,ARB/07/3,Government of the Province of East Kalimantan,PT Kaltim Prima Coal and others ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/3
709,ARB/07/2,RSM Production Corporation ,Central African Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/2
710,ARB/07/1,Fondel Metal Participations B.V. ,Republic of Azerbaijan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/07/1
711,ARB(AF)/07/1,"Piero Foresti, Laura de Carli and others",Republic of South Africa ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/07/1
712,ARB/06/21,City Oriente Limited,Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (Petroecuador),Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/21
713,ARB/06/19,"Nations Energy, Inc. and others ",Republic of Panama ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/19
714,ARB/06/18,Joseph C. Lemire ,Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/18
715,ARB(AF)/06/2,"Cementownia ""Nowa Huta"" S.A.",Republic of Turkey ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/06/2
716,ARB/06/17,"Técnicas Reunidas, S.A. and Eurocontrol, S.A. ",Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/17
717,ARB/06/16,Barmek Holding A.S.,Republic of Azerbaijan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/16
718,ARB/06/15,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V.",Republic of Azerbaijan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/15
719,ARB/06/13,"Aguaytia Energy, LLC ",Republic of Peru ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/13
720,ARB/06/12,Scancem International ANS ,Republic of Congo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/12
721,ARB/06/11,Occidental Petroleum Corporation and Occidental Exploration and Production Company ,Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/11
722,ARB/06/10,"Chevron Bangladesh Block Twelve, Ltd. and Chevron Bangladesh Blocks Thirteen and Fourteen, Ltd.",People's Republic of Bangladesh,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/10
723,ARB/06/9,Branimir Mensik ,Slovak Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/9
724,ARB/06/8,Libananco Holdings Co. Limited,Republic of Turkey ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/8
725,ARB(AF)/06/1,Sistem Muhendislik Insaat Sanayi ve Ticaret A.S. ,Kyrgyz Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/06/1
726,ARB/06/7,Togo Electricité and GDF-Suez Energie Services,Republic of Togo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/7
727,ARB/06/5,Phoenix Action Ltd ,Czech Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/5
728,ARB/06/4,Vestey Group Ltd ,Bolivarian Republic of Venezuela ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/4
729,ARB/06/3,The Rompetrol Group N.V. ,Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/3
730,ARB/06/2,Quiborax S.A. and Non-Metallic Minerals S.A.,Plurinational State of Bolivia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/2
731,ARB/06/1,Spyridon Roussalis ,Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/06/1
732,ARB/05/24,Hrvatska Elektroprivreda d.d. ,Republic of Slovenia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/24
733,ARB/05/23,Ares International S.r.l. and MetalGeo S.r.l.,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/23
734,ARB/05/22,Biwater Gauff (Tanzania) Limited,United Republic of Tanzania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/22
735,ARB/05/21,"African Holding Company of America, Inc. and Société Africaine de Construction au Congo S.A.R.L. ",Democratic Republic of the Congo ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/21
736,ARB/05/20,"Ioan Micula, Viorel Micula and others ",Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/20
737,ARB/05/19,Helnan International Hotels A/S ,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/19
738,ARB/05/18,Ioannis Kardassopoulos ,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/18
739,ARB/05/17,Desert Line Projects LLC ,Republic of Yemen,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/17
740,ARB/05/16,Rumeli Telekom A.S. and Telsim Mobil Telekomunikasyon Hizmetleri A.S. ,Republic of Kazakhstan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/16
741,ARB(AF)/05/2,"Cargill, Incorporated ",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/05/2
