,Case No.,Claimant(s),Respondent(s),Status,Link
330,ARB/14/11,NextEra Energy Global Holdings B.V. and NextEra Energy Spain Holdings B.V.,Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/11
331,ARB/14/10,"Highbury International AVV, Compañía Minera de Bajo Caroní AVV, and Ramstein Trading Inc.",Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/10
332,ARB/14/9,"City-State N.V., Praktyka Asset Management Company LLC, Crystal-Invest LLC and Prodiz LLC",Ukraine,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/9
333,ARB(AF)/14/1,Anglo American PLC,Bolivarian Republic of Venezuela,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/14/1
334,ARB/14/8,CEAC Holdings Limited,Montenegro,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/8
335,ARB/14/7,African Petroleum Gambia Limited (Block A4),Republic of The Gambia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/7
336,ARB/14/6,African Petroleum Gambia Limited (Block A1),Republic of The Gambia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/6
337,ARB/14/5,Infinito Gold Ltd.,Republic of Costa Rica,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/5
338,ARB/14/4,"Unión Fenosa Gas, S.A.",Arab Republic of Egypt,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/4
339,ARB/14/3,"Blusun S.A., Jean-Pierre Lecorcier and Michael Stein",Italian Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/3
340,ARB/14/2,Michael Dagher,Republic of the Sudan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/2
341,ARB/14/1,Masdar Solar & Wind Cooperatief U.A.,Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/14/1
342,ARB/13/38,"Fouad Alghanim & Sons Co. for General Trading & Contracting, W.L.L. and Fouad Mohammed Thunyan Alghanim",Hashemite Kingdom of Jordan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/38
343,ARB/13/37,"Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Helmut Jungbluth",Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/37
344,ARB/13/36,Eiser Infrastructure Limited and Energía Solar Luxembourg S.à r.l.,Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/36
345,ARB/13/35,UP and C.D Holding Internationale,Hungary,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/35
346,ARB/13/34,Courts (Indian Ocean) Limited and Courts Madagascar S.A.R.L.,Republic of Madagascar,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/34
347,ARB/13/33,PNG Sustainable Development Program Ltd.,Independent State of Papua New Guinea ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/33
348,ARB/13/32,MOL Hungarian Oil and Gas Company Plc,Republic of Croatia,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/32
349,ARB/13/31,Infrastructure Services Luxembourg S.à.r.l. and Energia Termosolar B.V. (formerly Antin Infrastructure Services Luxembourg S.à.r.l. and Antin Energia Termosolar B.V.),Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/31
350,ARB/13/30,RREEF Infrastructure (G.P.) Limited and RREEF Pan-European Infrastructure Two Lux S.à r.l.,Kingdom of Spain,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/30
